,created_at,sentiment,tweet
40,2019-09-06,Neutral,b 5 00 gmt update n trading futures commodities eurusd gold oil dowjones trump fed opec dollar euro ecb xe2 x80 xa6
41,2019-09-06,Positive,b nterminal alert nwe spotted a large bitcoin transaction n ntransaction amount usd 48 117 870 00 nprice usd 10 692 xe2 x80 xa6
42,2019-09-06,Neutral,b 1 btc bitcoin quotes n 10727 82 10739 23 bitstamp n 10725 00 10732 37 kraken n xe2 x87 xa2 14 23 4 55
43,2019-09-06,Neutral,b top 5 crypto losers n alert time 2019 09 06 08 00 54 n zeuscrowdfunding 0 000 n bigup 0 000 n unicoin 0 798 xe2 x80 xa6
44,2019-09-06,Neutral,b btcusd market 1h timeframe on september 6 at 04 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
45,2019-09-06,Neutral,b xe2 x8f xb0 08 00 n xe2 x82 xbf bitcoin 10 711 8801 n bitcoin btc btcusd
46,2019-09-06,Neutral,b bitcoin btc nprice 10 666 97 nchange in 1h 0 17 nmarket cap 191 135 558 245 00 nranking 1 n bitcoin btc
47,2019-09-06,Neutral,b pre xc3 xa7os bank to crypto n nbitcoin r 45 166 43 nbitcoin cash r 1 341 42 nethereum r 764 75 nsmartcash r 0 02 nzcor xe2 x80 xa6
48,2019-09-06,Neutral,b pre xc3 xa7os bank to crypto n nbitcoin r 45 166 43 nbitcoin cash r 1 341 42 nethereum r 764 75 nsmartcash r 0 02 nzcor xe2 x80 xa6
49,2019-09-06,Neutral,b 112 0 btc bought 10690 00 usdt at binance sent by whalemonitor bitcoin binance
50,2019-09-06,Neutral,b xe3 x80 market surveillance september 6 btc rises above 10600 xe3 x80 x91as of 03 00 utc on september 6 xe2 x80 xa6
51,2019-09-06,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
52,2019-09-06,Neutral,b i wish i had kept my 1 700 btc 0 06 instead of selling them at 0 30 now they re 8 00 bitcoin greg scho xe2 x80 xa6
53,2019-09-06,Neutral,b xe3 x80 x90major analyst s opinion bitcoin price fluctuates around the 10500 level xe3 x80 x91as of 22 00 on september 5 utc bitcoi xe2 x80 xa6
54,2019-09-06,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
55,2019-09-06,Neutral,b the hardware bitcoin wallet get trezor now for only 89 eur btc bitcoin 00
56,2019-09-06,Neutral,b xf0 x9f xa4 x96 1 hour crypto usd prices n n btc xe2 xac x87 10 68k 0 11 n ltc xe2 xac x87 66 33 0 03 n bnb xe2 xac x87 22 40 0 36 n trx xe2 x9e xa1 0 0149 xe2 x80 xa6
57,2019-09-06,Neutral,b buy bitcoin with paypal also with cc paysafecard skrill okpay btc bitcoin 00
58,2019-09-06,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
59,2019-09-06,Positive,b order your secure and smart btc eth altcoin hardware wallet only 94 80 eur bitcoin btc xe2 x80 xa6
60,2019-09-06,Neutral,b 1 btc price bitstamp 10678 19 usd coinbase usd btc bitcoin 2019 09 06 00 10
61,2019-09-06,Neutral,b rt buy bitcoin anywhere in the world 50 00 rlondon n items4sale list ur biz at
62,2019-09-06,Neutral,b 1 btc bitcoin quotes n 10655 51 10667 78 bitstamp n 10658 04 10659 00 kraken n xe2 x87 xa2 9 74 3 49
63,2019-09-06,Neutral,b btcusd market 1h timeframe on september 6 at 03 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
64,2019-09-06,Positive,b top 5 cryptocurrencies ndaily price n bitcoin 10677 0 90 n ripple 0 26 0 073 n ethereum 174 41 0 91 xe2 x80 xa6
65,2019-09-06,Neutral,b xe2 x8f xb0 07 00 n xe2 x82 xbf bitcoin 10 662 4970 n bitcoin btc btcusd
66,2019-09-06,Neutral,b bitcoin btc nprice 10 642 93 nchange in 1h 0 13 nmarket cap 190 703 803 292 00 nranking 1 n bitcoin btc
67,2019-09-06,Positive,b nterminal alert nwe spotted a large bitcoin transaction n ntransaction amount usd 10 697 940 00 nprice usd 10 697 xe2 x80 xa6
68,2019-09-06,Neutral,b xf0 x9f x93 xa2 every hour past 00 and 30 we will tweet cryptocurrency market report in usd and every hour past 15 and 45 we wil xe2 x80 xa6
69,2019-09-06,Neutral,b current bitcoin price 11138 92 includes sum of forks btc 10712 00 bch 295 76 0 0276 btc bsv 131 16 0 0122 btc
70,2019-09-06,Neutral,b hourly price update usdt n n xe2 x80 xa2 bsv bitcoin 130 32 n ndead forks n n xe2 x80 xa2 btc blockstream turd coin 10670 00 n xe2 x80 xa2 bch btrash 291 74
71,2019-09-06,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
72,2019-09-06,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 06 00 56 n bitcoin 10 631 383 n ethereum 174 299 n xrp 0 254 xe2 x80 xa6
73,2019-09-06,Neutral,b btcusd market 1h timeframe on september 6 at 02 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
74,2019-09-06,Neutral,b xe2 x8f xb0 06 00 n xe2 x82 xbf bitcoin 10 677 4060 n bitcoin btc btcusd
75,2019-09-06,Neutral,b bitcoin btc nprice 10 630 55 nchange in 1h 0 53 nmarket cap 190 481 097 409 00 nranking 1 n bitcoin btc
76,2019-09-06,Positive,b rt april1st day to give 1 00 worth of bitcoin xf0 x9f x8e x81 to a friend who doesn t own crypto at all xf0 x9f xa7 xa1 onedollarinbtc onedolla xe2 x80 xa6
77,2019-09-06,Positive,b xf0 x9f x93 x88pump alert light usdt on okex price increase 5 15 volume 13 00 light usdt okex crypto bitcoin xe2 x80 xa6
78,2019-09-06,Neutral,b one bitcoin now worth 10630 00 high 10664 130 low 10461 970 market cap 190 471 billion bitcoin
79,2019-09-06,Positive,b at 26 00 min mark you said exactly that xf0 x9f x91 x8c xf0 x9f x91 x8d bitcoin video xe2 x98 x9d xef xb8 x8f xf0 x9f x87 xa8 xf0 x9f x87 xb3 controls the bitcoin xe2 x80 x9ceconomy xe2 x80 x9d xe2 x80 xa6
80,2019-09-06,Neutral,b 1 btc bitcoin quotes n 10595 11 10610 40 bitstamp n 10593 90 10594 00 kraken n xe2 x87 xa2 16 50 1 11
81,2019-09-06,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 05 00 54 n bitcoin 10 585 594 n ethereum 173 676 n xrp 0 255 xe2 x80 xa6
82,2019-09-06,Neutral,b btcusd market 1h timeframe on september 6 at 01 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
83,2019-09-06,Neutral,b xe2 x8f xb0 05 00 n xe2 x82 xbf bitcoin 10 593 2830 n bitcoin btc btcusd
84,2019-09-06,Neutral,b bitcoin btc nprice 10 568 68 nchange in 1h 0 13 nmarket cap 189 371 253 242 00 nranking 1 n bitcoin btc
85,2019-09-06,Neutral,b 1 bitcoin with unit price of 10 580 56 market cap of 189 583 987 658 70 00 and 24 hr vol of 14 249 215 117 30 26
86,2019-09-06,Neutral,b major analyst s opinion bitcoin price fluctuates around the 10500 level n nas of 22 00 on septembe xe2 x80 xa6
87,2019-09-06,Neutral,b xf0 x9f xa4 x96 1 hour crypto usd prices n n btc xe2 xac x86 10 58k 0 15 n ltc xe2 xac x86 65 73 0 18 n bnb xe2 xac x86 22 70 1 29 n trx xe2 x9e xa1 0 0150 xe2 x80 xa6
88,2019-09-06,Neutral,b xe3 x80 x90coinness coin data active addresses on ethereum up by 10 31 on september 5 xe3 x80 x91monitored by
89,2019-09-06,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 04 00 54 n bitcoin 10 584 811 n ethereum 173 608 n xrp 0 256 xe2 x80 xa6
90,2019-09-06,Neutral,b btcusd market 1h timeframe on september 6 at 00 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
91,2019-09-06,Neutral,b xe2 x8f xb0 04 00 n xe2 x82 xbf bitcoin 10 579 5000 n bitcoin btc btcusd
92,2019-09-06,Neutral,b bitcoin btc nprice 10 583 52 nchange in 1h 0 04 nmarket cap 189 636 162 630 00 nranking 1 n bitcoin btc
93,2019-09-06,Neutral,b xf0 x9f x93 xa2new trade n xf0 x9f x8c x8eexchange binance n xf0 x9f x93 x8c sysbtc n xe2 x8f xb3buy date 2019 09 06 02 00 07 n xe2 x8c x9bsell date 2019 09 06 02 37 20 n xf0 x9f x93 x88buy 0 0 xe2 x80 xa6
94,2019-09-06,Neutral,b xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 hourly crypto updates xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 nbitcoin btc 10580 258 nethereum eth 173 816 nbasic attention token bat 0 17 xe2 x80 xa6
95,2019-09-06,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
96,2019-09-06,Neutral,b xf0 x9f x93 xa2new trade n xf0 x9f x8c x8eexchange binance n xf0 x9f x93 x8c pptbtc n xe2 x8f xb3buy date 2019 09 06 02 00 38 n xe2 x8c x9bsell date 2019 09 06 02 13 26 n xf0 x9f x93 x88buy 0 0 xe2 x80 xa6
97,2019-09-06,Neutral,b current bitcoin price 11018 84 includes sum of forks btc 10595 00 bch 293 38 0 0277 btc bsv 130 46 0 0123 btc
98,2019-09-06,Neutral,b to take it further for fun let s assume you re a trader by profession bitcoin your assets are whole d xe2 x80 xa6
99,2019-09-06,Neutral,b 100 000 00 bitcoin price per btc no earlier than 2021 and no later than 2028 n1000 000 00 bitcoin price per btc no xe2 x80 xa6
100,2019-09-06,Neutral,b btcusd market 1h timeframe on september 5 at 23 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
101,2019-09-06,Neutral,b xe2 x8f xb0 03 00 n xe2 x82 xbf bitcoin 10 580 0670 n bitcoin btc btcusd
102,2019-09-05,Neutral,b rt xf0 x9f x97 x9e last 12hrs crypto news update bot xf0 x9f x93 xa3 xf0 x9f x93 x8c analysts believe ripple xrp price may surge to 0 55 right before it screams xe2 x80 xa6
103,2019-09-05,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
104,2019-09-05,Neutral,b xf0 x9f x97 x9e last 12hrs crypto news update bot xf0 x9f x93 xa3 xf0 x9f x93 x8c analysts believe ripple xrp price may surge to 0 55 right before it scre xe2 x80 xa6
105,2019-09-05,Neutral,b one bitcoin now worth 10584 00 high 10664 130 low 10461 970 market cap 189 644 billion bitcoin
106,2019-09-05,Neutral,b 100 0 btc sold 10580 00 usdt at binance sent by whalemonitor bitcoin binance
107,2019-09-05,Neutral,b major analyst s opinion bitcoin price fluctuates around the 10500 level n nas of 22 00 on septembe xe2 x80 xa6
108,2019-09-05,Neutral,b xe3 x80 x90major analyst s opinion bitcoin price fluctuates around the 10500 level xe3 x80 x91as of 22 00 on september 5 utc bitcoi xe2 x80 xa6
109,2019-09-05,Neutral,b major analyst s opinion bitcoin price fluctuates around the 10500 level n nas of 22 00 on septembe xe2 x80 xa6
110,2019-09-05,Neutral,b major analyst s opinion bitcoin price fluctuates around the 10500 level n nas of 22 00 on septembe xe2 x80 xa6
111,2019-09-05,Neutral,b 1 btc bitcoin quotes n 10586 77 10597 22 bitstamp n 10587 72 10591 77 kraken n xe2 x87 xa2 9 50 5 00
112,2019-09-05,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 02 00 58 n bitcoin 10 581 631 n ethereum 174 534 n xrp 0 256 xe2 x80 xa6
113,2019-09-05,Neutral,b btcusd market 1h timeframe on september 5 at 22 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
114,2019-09-05,Neutral,b canaan avalon 821 asic 11th s bitcoin btc bch miner w bitmain apw3 1600w 225 00 3 bids end date thursday sep xe2 x80 xa6
115,2019-09-05,Neutral,b 2019 09 06 08 00 22 24h btc priceper currency nvia
116,2019-09-05,Neutral,b xe2 x8f xb0 02 00 n xe2 x82 xbf bitcoin 10 576 6770 n bitcoin btc btcusd
117,2019-09-05,Neutral,b major analyst s opinion bitcoin price fluctuates around the 10500 level n nas of 22 00 on septembe xe2 x80 xa6
118,2019-09-05,Neutral,b bitcoin btc nprice 10 574 05 nchange in 1h 0 15 nmarket cap 189 465 515 659 00 nranking 1 n bitcoin btc
119,2019-09-05,Neutral,b pre xc3 xa7os bank to crypto n nbitcoin r 44 824 41 nbitcoin cash r 1 327 95 nethereum r 763 52 nsmartcash r 0 02 nzcor xe2 x80 xa6
120,2019-09-05,Neutral,b pre xc3 xa7os bank to crypto n nbitcoin r 44 824 41 nbitcoin cash r 1 327 95 nethereum r 763 52 nsmartcash r 0 02 nzcor xe2 x80 xa6
121,2019-09-05,Neutral,b major analyst s opinion bitcoin price fluctuates around the 10500 level n nas of 22 00 on septembe xe2 x80 xa6
122,2019-09-05,Neutral,b major analyst s opinion bitcoin price fluctuates around the 10500 level n nas of 22 00 on septembe xe2 x80 xa6
123,2019-09-05,Neutral,b major analyst s opinion bitcoin price fluctuates around the 10500 level n nas of 22 00 on septembe xe2 x80 xa6
124,2019-09-05,Positive,b nterminal alert nwe spotted a large bitcoin transaction n ntransaction amount usd 42 316 000 00 nprice usd 10 579 xe2 x80 xa6
125,2019-09-05,Neutral,b alert bitcoin btc at euro 9586 22 increase by 11 31 during the past week n nprice euro 9586 22 n ntimestamp 00 1 xe2 x80 xa6
126,2019-09-05,Neutral,b try molly at only xc2 xa38 700 00 per btc bpi 1 45 buy bitcoin banktrans
127,2019-09-05,Neutral,b 1 btc bitcoin quotes n 10557 59 10569 54 bitstamp n 10559 28 10560 00 kraken n xe2 x87 xa2 10 26 2 41
128,2019-09-05,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 01 00 51 n bitcoin 10 557 369 n ethereum 173 300 n xrp 0 256 xe2 x80 xa6
129,2019-09-05,Neutral,b btcusd market 1h timeframe on september 5 at 21 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
130,2019-09-05,Neutral,b thu 5 sep 23 00 05 west 2019 and the price of bitcoin sv is 129 90 usd or 0 012314 btc and this coin has a circulat xe2 x80 xa6
131,2019-09-05,Neutral,b xe2 x8f xb0 01 00 n xe2 x82 xbf bitcoin 10 554 6680 n bitcoin btc btcusd
132,2019-09-05,Neutral,b bitcoin btc nprice 10 557 61 nchange in 1h 0 11 nmarket cap 189 169 862 531 00 nranking 1 n bitcoin btc
133,2019-09-05,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 00 50 02 n bitcoin 10 556 805 n ethereum 173 240 n xrp 0 256 xe2 x80 xa6
134,2019-09-05,Neutral,b cryptocurrency bitcoin 0 4 at 10 623 00 before u s thursday market open then moves lower to 10 545 00 in late xe2 x80 xa6
135,2019-09-05,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 00 40 02 n bitcoin 10 546 131 n ethereum 173 145 n xrp 0 256 xe2 x80 xa6
136,2019-09-05,Neutral,b xf0 x9f xa4 x96 1 hour crypto usd prices n n btc xe2 xac x87 10 54k 0 18 n ltc xe2 xac x86 65 09 0 74 n bnb xe2 xac x86 23 14 1 09 n trx xe2 xac x87 0 0148 xe2 x80 xa6
137,2019-09-05,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 00 30 05 n bitcoin 10 539 239 n ethereum 172 969 n xrp 0 256 xe2 x80 xa6
138,2019-09-05,Positive,b nterminal alert nwe spotted a large bitcoin transaction n ntransaction amount usd 42 067 120 00 nprice usd 10 516 xe2 x80 xa6
139,2019-09-05,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 00 20 02 n bitcoin 10 532 675 n ethereum 172 754 n xrp 0 255 xe2 x80 xa6
140,2019-09-05,Neutral,b current bitcoin price 10924 57 includes sum of forks btc 10508 00 bch 287 76 0 0274 btc bsv 128 81 0 0123 btc
141,2019-09-05,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 00 10 04 n bitcoin 10 538 758 n ethereum 172 519 n xrp 0 255 xe2 x80 xa6
142,2019-09-05,Neutral,b bs 19775 35 ves usd 3 48 xe2 xac x86 xef xb8 x8f navg 24h 19747 00 ves usd n xf0 x9f x95 x97 sep 5 2019 5 00 pm n
143,2019-09-05,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 00 00 53 n bitcoin 10 538 018 n ethereum 172 601 n xrp 0 255 xe2 x80 xa6
144,2019-09-05,Neutral,b xe2 x8f xb0 00 00 n xe2 x82 xbf bitcoin 10 526 6520 n bitcoin btc btcusd
145,2019-09-05,Neutral,b bitcoin btc nprice 10 541 17 nchange in 1h 0 03 nmarket cap 188 874 847 522 00 nranking 1 n bitcoin btc
146,2019-09-05,Positive,b nterminal alert nwe spotted a large bitcoin transaction n ntransaction amount usd 5 272 838 95 nprice usd 10 545 6 xe2 x80 xa6
147,2019-09-05,Neutral,b bitcoin cash bch current price n 288 00 n1 hour 0 30 24 hours 3 26 7 days 3 03 n bch bitcoin cash
148,2019-09-05,Positive,b rt cnbc brian kelly shills litecoin 357 n technical lead over bitcoin sure baby xf0 x9f x98 x8f xf0 x9f x98 x8f xf0 x9f x98 x8f nlitecoin enters a multi year bear xe2 x80 xa6
149,2019-09-05,Positive,b rt cnbc brian kelly shills litecoin 357 n technical lead over bitcoin sure baby xf0 x9f x98 x8f xf0 x9f x98 x8f xf0 x9f x98 x8f nlitecoin enters a multi year bear xe2 x80 xa6
150,2019-09-05,Positive,b cnbc brian kelly shills litecoin 357 n technical lead over bitcoin sure baby xf0 x9f x98 x8f xf0 x9f x98 x8f xf0 x9f x98 x8f nlitecoin enters a multi year xe2 x80 xa6
151,2019-09-05,Neutral,b rt bitcoin still isn xe2 x80 x99t dead n n 19 891 00 ath n n 10 791 00 today n nimagine when we break the ath again
152,2019-09-05,Neutral,b rt main prizes have already found their owners but on september 6 at 16 00 utc time we ll select 300 participants who will xe2 x80 xa6
153,2019-09-05,Positive,b top 5 cryptocurrencies n alert time 2019 09 05 23 00 56 n bitcoin 10 540 216 n ethereum 172 155 n xrp 0 256 xe2 x80 xa6
154,2019-09-05,Neutral,b xe2 x8f xb0 23 00 n xe2 x82 xbf bitcoin 10 528 2830 n bitcoin btc btcusd
155,2019-09-05,Neutral,b bitcoin btc nprice 10 542 82 nchange in 1h 0 02 nmarket cap 188 903 008 271 00 nranking 1 n bitcoin btc
156,2019-09-05,Neutral,b rt bitcoin still isn xe2 x80 x99t dead n n 19 891 00 ath n n 10 791 00 today n nimagine when we break the ath again
157,2019-09-05,Neutral,b xe3 x80 market surveillance september 5 btc fluctuates around 10500 xe3 x80 x91as of 18 00 utc on septemb xe2 x80 xa6
158,2019-09-05,Neutral,b daily roundup yields 10y change bps italy 9 3 uk 10 7 canada 12 8 south africa 6 0 dxy xe2 x86 x93 0 04 98 42 xe2 x80 xa6
159,2019-09-05,Neutral,b xe3 x80 market surveillance september 5 btc fluctuates around 10500 xe3 x80 x91as of 18 00 utc on septemb xe2 x80 xa6
160,2019-09-05,Neutral,b rt cryptotab summer contest has come to to the end and we already know 5 winners you can check them here on the results pag xe2 x80 xa6
161,2019-09-05,Neutral,b rt main prizes have already found their owners but on september 6 at 16 00 utc time we ll select 300 participants who will xe2 x80 xa6
162,2019-09-05,Neutral,b xf0 x9f xa4 x96 1 hour crypto usd prices n n btc xe2 xac x87 10 52k 0 12 n ltc xe2 xac x87 64 56 0 32 n bnb xe2 xac x87 23 17 0 22 n trx xe2 xac x87 0 0148 xe2 x80 xa6
163,2019-09-05,Neutral,b gold 1 517 28 silver 18 73 platinum 960 00 nbitcoin 10 493 bitcoin cash 288 ncall us at 800 874 9760 or s xe2 x80 xa6
164,2019-09-05,Neutral,b rt your bitcoin wallet 00 ni promise you can earn 0 28535btc 1050 per day nask me how xe2 x98 xba xe2 x98 xba xe2 x98 xba
165,2019-09-05,Neutral,b rt your bitcoin wallet 00 ni promise you can earn 0 28535btc 1050 per day nask me how xe2 x98 xba xe2 x98 xba xe2 x98 xba
166,2019-09-05,Neutral,b xf0 x9f x93 xa2new trade n xf0 x9f x8c x8eexchange binance n xf0 x9f x93 x8c stratbtc n xe2 x8f xb3buy date 2019 09 04 19 23 21 n xe2 x8c x9bsell date 2019 09 05 21 00 08 n xf0 x9f x93 x88buy 0 xe2 x80 xa6
167,2019-09-05,Neutral,b btcusd market 1h timeframe on september 5 at 18 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
168,2019-09-05,Neutral,b xe2 x8f xb0 22 00 n xe2 x82 xbf bitcoin 10 549 0580 n bitcoin btc btcusd
169,2019-09-05,Neutral,b bitcoin btc nprice 10 554 61 nchange in 1h 0 21 nmarket cap 189 112 824 244 00 nranking 1 n bitcoin btc
170,2019-09-05,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
171,2019-09-05,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
172,2019-09-05,Neutral,b current bitcoin price 10937 13 includes sum of forks btc 10520 00 bch 287 88 0 0274 btc bsv 129 25 0 0123 btc
